file_type,student_file
file_name,hanako_swimsuit_example
display_name,满配水花
img_file_path,texture_files\student_icons\Hanako_Swimsuit_Icon.png
color_r,154
color_g,70
color_b,168
star,7
lvl,87
skl_ex,5
skl_ns,10
skl_ps,10
skl_ss,10
eq_1,8
eq_2,8
eq_3,8
eq_u,0
pu_hp,0
pu_ak,0
pu_hl,0
aff_1,20
aff_2,0
aff_3,0
aff_4,0
ex_type,伤害
ex_cost,2
ex_pre,1.5
ex_dur,0.67
ns_type,buff
ns_cd,30
ns_pre,0.0
ns_dur,20.0
note,"ex脱手后45帧（1.5s）命中，跳伤害持续20帧（0.67s）
从ex脱手到下次可释放ex间隔116帧（3.87s，相当于后摇持续50帧左右）"
